,残差（全体）
0,75099.96795755993
1,9767.149534813185
2,28905.867616837895
3,11251.224538259014
4,8099.627265715088
5,40678.65889820742
6,20870.970909678344
7,18507.235106170465
8,15806.781932525306
9,6622.332942911304
10,15265.684306439554
11,9352.445174862889
12,4952.348349110837
13,4965.414137178024
14,46195.37881321085
15,44924.90926604451
16,16663.36071579651
17,29852.48203400569
18,1746.4770050598167
19,8402.537912232528
20,2355.085291431078
21,8504.470709590601
22,15258.181947253302
23,13081.014476288867
24,3392.0848665260655
25,24097.64670969607
26,9780.517425868346
27,25263.109724596627
28,25682.082784280316
29,61551.42224946042
30,25491.761374716913
31,18463.799855463963
32,5377.741593185381
33,46188.99527440787
34,3658.513735621154
35,10458.22422199692
36,29501.529891352817
37,11645.614582143371
38,49277.560689658545
39,31577.91772355472
40,5220.571897485265
41,6468.715167527094
42,6147.330971954895
43,33722.02882772533
44,15055.238622445222
45,28292.804664426363
46,4463.032424224036
47,27874.9447932039
48,18989.94784637675
49,3397.3207835073063
50,2831.032346522647
51,30288.54078576837
52,14376.067740062237
53,4659.528526312543
54,20653.21254537244
55,11802.89927218241
56,8823.438018683191
57,2498.7639609091275
58,18794.924948583062
59,14115.552435041638
60,51479.49882074504
61,3664.4844933901086
62,39928.154630748926
63,10309.42932470135
64,28982.148397416615
65,12624.571276281498
66,12976.50806792298
67,17821.33112274465
68,9649.394497788964
69,4584.347931557228
70,23685.13900207441
71,5260.3578030546105
72,14560.734941120085
73,49789.43915524588
74,10489.73476058547
75,7675.31890363433
76,17968.441952927824
77,19936.68231265128
78,10613.216420490866
79,9307.403603090235
80,24702.64275221905
81,8092.151346943967
82,22014.851879254944
83,7318.478823688312
84,18081.89411933283
85,16377.209140554687
86,9469.670177503798
87,4985.055508202478
88,20920.674940098343
89,29533.806429750955
90,7141.033849719114
91,19386.163758159433
92,12238.240981895327
93,5164.452829762639
94,103228.60612029492
95,10150.100656610299
96,16748.045068662177
97,15491.0091203115
98,7545.773022828282
99,16957.64901714275
